Country,Name,"Year Passed",Executive/Legislative,Framework,Categories,"Document Type"
Denmark,"Energy Agreement 2012-2020",2012,Legislative,,"Adaptation; Energy Demand; Energy Supply; Research and development; Transportation",Law
"European Union","Energy Efficiency (Directive 2012/27/EU, amending Directives 2009/125/EC and 2010/30/EU and repealing Directives 2004/8/EC and 2006/32/EC)",2012,Legislative,No,"Energy Demand; Energy Supply; Institutions / Administrative arrangements","EU directive"
Turkey,"Energy Efficiency Strategy Paper 2012-2023",2012,Executive,,"Adaptation; Energy Supply; Institutions / Administrative arrangements; Transportation",Strategy
"San Marino","Environmental Code (Delegated Decree no 44 of April 27th, 2012)",2012,Legislative,,"Institutions / Administrative arrangements",Law
Luxembourg,"Global Strategy for a Sustainable Mobility (MODU)",2012,Executive,,Transportation,Strategy
Luxembourg,"Law on carbon dioxide geological storage and environmental responsibility",2012,Legislative,mitigation,"Energy Supply; Research and development",Law
Romania,"Law on Electrical Energy and Natural Gases, 123/2012",2012,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
"Czech Republic","Minimum biofuel content for transportation fuels (Act No. 201/2012 Coll., on the protection of atmosphere – Clean Air Act)",2012,Legislative,,Transportation,Law
Malta,"National Climate Change Adaptation Strategy",2012,Executive,Adaptation,"Adaptation; Energy Demand; Institutions / Administrative arrangements",Strategy
Latvia,"National Development Plan of Latvia for 2014–2020",2012,Executive,No,"Energy Demand",Plan
Malta,"National Environment Policy",2012,Executive,,"Adaptation; Energy Demand; Energy Supply; REDD+ and LULUCF; Research and development; Transportation",Policy
Lithuania,"National Forest Sector Development Programme for 2012-2020",2012,Executive,No,"REDD+ and LULUCF",Programme
Malta,"National Strategy for the introduction of electric mobility in Malta and Gozo",2012,Executive,,"Energy Demand; Transportation",Strategy
Turkmenistan,"National Strategy on Climate Change",2012,Executive,"Mitigation and adaptation","Adaptation; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Strategy
Switzerland,"Regulation on the CO2 Emission for New Passenger Vehicles",2012,Executive,,"Energy Demand; Transportation",Regulation/rules
"Czech Republic","State Environmental Policy (2012-2020)",2012,Executive,,"Adaptation; Energy Demand; Energy Supply",Policy
Lithuania,"Strategy for the National Climate Change Management Policy until 2050",2012,Executive,"Mitigation and adaptation","Adaptation; Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Strategy
Austria,"The Austrian Strategy for Adaption to Climate Change",2012,Executive,Adaptation,Adaptation,Strategy
France,"Thermal Regulation 2012 (RT 2012)",2012,Executive,,"Energy Demand",Policy
Estonia,"‘Estonia 2020’ National Reform Programme",2011,Executive,Mitigation,"Energy Demand; Energy Supply; Transportation",Programme
Hungary,"Act no. 117 of 2010 concerning the promotion of the use of renewable energy for transport and the greenhouse effect reduction of energy used for transport purposes  (Biofuels Act)",2011,Legislative,,Transportation,Law
Hungary,"Act No.86 of 2011 on Electricity (Electricity Act)",2011,Legislative,,"Energy Demand; Energy Supply",Law
Sweden,"Act on Electricity certificates: Act No. 2011:1200 and Regulation on Electricity certificates – Regulation No. 2011:1480",2011,Legislative,,"Carbon Pricing; Energy Supply",Law
Finland,"Act on State guarantees and export guarantees granted to industry for investments promoting environmental protection (609/1973)",2011,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
Croatia,"Air Protection Law",2011,Legislative,Mitigation,"Adaptation; Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development; Transportation",Law
"United Kingdom","Carbon Plan",2011,Executive,,"Energy Demand; Energy Supply; Transportation",Plan
Turkey,"Climate Change Action Plan 2011-2023",2011,Executive,"Mitigation and adaptation","Adaptation; Energy Supply; Institutions / Administrative arrangements; Transportation",Plan
Austria,"Climate Protection Act",2011,Legislative,Mitigation,"Institutions / Administrative arrangements",Law
Slovakia,"Creation of the High Level Committee for Co-ordination of Climate Change Policy (Coordination Committee), Resolution of the Slovak Government No. 821/2011",2011,Executive,,"Institutions / Administrative arrangements",Policy
Andorra,"Decree on the granting of aid for the installation of renewable energy utilization systems in buildings",2011,Executive,,"Energy Demand",Decree/order/ordinance
Turkey,"Decree-Laws 644 and 648 on the organisation and duties of the Ministry of Environment and Urban Planning",2011,Executive,No,"Institutions / Administrative arrangements; Research and development","Decree law"
Norway,"Electricity Certificates Act, No. 39 of 2011",2011,Legislative,,"Energy Supply",Law
"European Union","Emission performance standards for new light commercial vehicles (Regulation (EU) No. 510/2011 setting emission performance standards for new light commercial vehicles as part of the Union’s integrated approach to reduce CO2 emissions from light-duty vehicles",2011,Legislative,No,Transportation,"EU regulation"
Monaco,"Energy Climate Plan",2011,Executive,"Mitigation and adaptation","Adaptation; Energy Demand; Energy Supply",Plan
Spain,"Energy Efficiency Action Plan 2011-2020",2011,Executive,,"Energy Demand; Transportation",Plan
Poland,"Energy Efficiency Law",2011,Legislative,,"Energy Demand; Institutions / Administrative arrangements",Law
Bulgaria,"Energy from Renewable Sources Act",2011,Legislative,,"Energy Supply",Law
Netherlands,"Energy Report",2011,Executive,,"Carbon Pricing; Energy Demand; Energy Supply; Research and development; Transportation",Policy
Slovakia,"Establishment of sustainability criteria and targets to reduce greenhouse gas emissions from fuels, Decree of Ministry of Environment No. 271/2011 Coll.",2011,Executive,,"Energy Supply; REDD+ and LULUCF",Decree/order/ordinance
Austria,"Feed-in Tariff Decree",2011,Executive,,"Energy Supply",Decree/order/ordinance
"United Kingdom","Finance Act 2011",2011,Legislative,,"Carbon Pricing",Law
Bulgaria,"Forestry Act and National Strategy for the Development of the Forest Sector 2013-2020",2011,Legislative,,"REDD+ and LULUCF",Law
Sweden,"Government Bill (2009/2010: 172): Nuclear Power -opening the way for a generation change &#038; Government Bill (2009/2010:173): Nuclear Power ? Increased Liability",2011,Legislative,,"Energy Supply; Institutions / Administrative arrangements; Research and development",Law
Romania,"Government Decision regarding the use of bio fuels and bio liquids 935/2011 amended and complimented with 918/2012",2011,Executive,,"Energy Demand; Transportation",Policy
Austria,"Green Electricity Act",2011,Legislative,,"Energy Demand",Law
Germany,"Grid Expansion Acceleration Act (NABEG)",2011,Legislative,,"Energy Supply; Institutions / Administrative arrangements",Law
Spain,"Law 2/2011, on Spain’s Sustainable Economy, regulated by Royal Decree 1494/2011, of 24 October 2011",2011,Legislative,,"Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; Transportation",Law
Greece,"Law 4001/2011 on the Operation of Electricity and Gas Energy Markets, for Exploration, Production and Transmission Networks of Hydrocarbons and other provisions",2011,Legislative,,"Energy Supply",Law
Romania,"Law approving Government Emergency Ordinance no. 18/2009 on increasing the energy efficiency of residential buildings, 158/2011",2011,Legislative,,"Energy Demand",Law
Kyrgyzstan,"Law no. 137 “On the energy efficiency of buildings”",2011,Legislative,No,"Energy Demand",Law
Kazakhstan,"Law on Energy Saving",2011,Legislative,,"Energy Demand; Energy Supply",Law
France,"National Climate Change Adaptation Plan",2011,Executive,Adaptation,"Adaptation; Institutions / Administrative arrangements",Plan
Moldova,"National Program for Energy Efficiency 2011-2020",2011,Executive,No,"Energy Demand; Energy Supply; Transportation",Programme
Spain,"Plan for Renewable Energy in Spain PER 2011-2020",2011,Executive,,"Energy Supply; Institutions / Administrative arrangements; Research and development",Plan
Serbia,"Regulation Establishing the Methodology for Determining the Preparation of Preliminary Flood Risk Assessment",2011,Executive,No,Adaptation,Regulation/rules
Spain,"Royal Decree creating the Interministerial Commission for Climate Change",2011,Executive,,"Institutions / Administrative arrangements",Decree/order/ordinance
Turkey,"Turkey’s National Climate Change Adaptation Strategy and Action Plan",2011,Executive,Adaptation,Adaptation,Strategy
"United Kingdom","UK Renewable Energy Roadmap",2011,Executive,,"Energy Supply; Transportation",Policy
Finland,"Act 1396/2010 on Production Subsidy for Electricity Produced from Renewable Energy Sources (1396/2010) and accompanying Decree 1397/2010",2010,Legislative,,"Carbon Pricing; Energy Supply",Act
Belarus,"Act No. 204 on renewable energy sources",2010,Legislative,,"Energy Supply; Institutions / Administrative arrangements",Law
Finland,"Act on Aviation Emissions Trading (34/2010)",2010,Legislative,,"Institutions / Administrative arrangements; Transportation",Law
"United Kingdom","Carbon Reduction Commitment Energy Efficiency Scheme",2010,Legislative,,"Energy Demand",Law
Turkey,"Climate Change Strategy 2010-2020",2010,Executive,,"Adaptation; Energy Demand; Energy Supply; REDD+ and LULUCF; Research and development; Transportation",Strategy
Netherlands,"Crisis and Recovery Act",2010,Legislative,,"Adaptation; Institutions / Administrative arrangements",Law
Belarus,"Decree No. 625 on “Some GHG Emission Reduction Issues”",2010,Executive,,"Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements",Decree/order/ordinance
Portugal,"Decree-Law 39/2010 on electric mobility, last amended by Decree-Law 90/2014",2010,Executive,,"Energy Demand; Institutions / Administrative arrangements; Research and development; Transportation","Decree law"
Portugal,"Decree-Law No. 117/2010, regulating sustainability criteria for production and use of biofuel and bio liquids, amended by Decree-Law 6/2012",2010,Executive,,"Energy Supply; Institutions / Administrative arrangements; Transportation","Decree law"
Ireland,"Energy (Biofuel Obligation and Miscellaneous Provisions) Act 2010 (No. 11 of 2010) of the National Oil Reserves Agency Act 2007 (No.7 of 2007)",2010,Legislative,,"Energy Supply; Institutions / Administrative arrangements; Transportation",Law
Germany,"Energy and Climate Fund Act (EKFG)",2010,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
Germany,"Energy Concept for an Environmentally Sound, Reliable and Affordable Energy Supply",2010,Executive,,"Energy Supply; Institutions / Administrative arrangements",Policy
Italy,"Energy efficient buildings and biofuel standards (2010 Finance Law)",2010,Legislative,,"Carbon Pricing; Energy Demand; Energy Supply",Law
"European Union","Energy labelling (Directive 2010/30/EU and Regulation 2017/1369 on the indication by labelling and standard product information of the consumption of energy and other resources by energy-related products)",2010,Legislative,No,"Energy Demand; Institutions / Administrative arrangements","EU directive"
Austria,"Energy Strategy",2010,Executive,,"Energy Demand; Energy Supply",Strategy
"Macedonia (the former Yugoslav Republic of)","Energy Strategy",2010,Executive,,"Energy Supply",Strategy
"United Kingdom","Feed-in Tariffs for renewable electricity",2010,Legislative,,"Energy Supply",Law
Finland,"Flood Risk Management Act (No. 620/2010)",2010,Legislative,,"Adaptation; Institutions / Administrative arrangements",Law
Serbia,"Forest Law",2010,Legislative,No,"REDD+ and LULUCF",Law
Hungary,"Governmental Decree No.343 of 2010 concerning the requisites and certification of sustainable biofuel production",2010,Executive,,"Energy Supply",Decree/order/ordinance
France,"Grenelle II",2010,Legislative,,"Carbon Pricing; Energy Demand; Energy Supply; Research and development",Law
Greece,"Law 3831/2010 on “Revision of the vehicle taxes regime for vehicles, abolishment of the vehicles recycling measures (scrappage scheme) and measures for tackling atmospheric pollution”",2010,Legislative,,Transportation,Law
Greece,"Law 3851/2010 on “Accelerating the development of Renewable Energy Sources to address climate change and other provisions on jurisdiction of the Ministry of Environment, Energy and Climate Change”",2010,Legislative,,"Energy Supply; Institutions / Administrative arrangements",Law
Greece,"Law 3855/2010 on “Measures to improve energy efficiency in end?use, energy services and other provisions”",2010,Legislative,,"Energy Demand",Law
Greece,"Law 3889/2010 Financing Environmental Interventions, Green Fund, Ratification of Forest Maps and other provisions",2010,Legislative,,"Energy Demand; Institutions / Administrative arrangements; REDD+ and LULUCF",Law
Andorra,"Law 85/2010, of 18 November, provisional measures relating to the regime of electricity",2010,Legislative,,"Energy Supply",Law
Andorra,"Law 93/2010, of 16 December on measures to promote economic activity and social rationalization and optimization of the resources of the government",2010,Legislative,,"Energy Demand",Law
Tajikistan,"Law No.587 on Promoting the Use of Renewable Energy (Renewable Energy Law)",2010,Legislative,,"Energy Demand; Energy Supply; Transportation",Law
Belgium,"National Climate Change Adaptation Strategy",2010,Executive,Adaptation,"Adaptation; Institutions / Administrative arrangements",Strategy
Hungary,"National Renewable Energy Action Plan (NREAP) for 2010-2020",2010,Executive,,"Adaptation; Energy Demand; Energy Supply",Plan
Spain,"National Renewable Energy Action Plan PANER 2011-2020",2010,Executive,,"Energy Supply; Institutions / Administrative arrangements; Research and development",Plan
Norway,"Offshore Energy Act No. 21 of 2010",2010,Legislative,,"Energy Supply; Institutions / Administrative arrangements",Law
Sweden,"Regulation on State Subsidies for Solar Panels – Regulation No. 2009:689, updated/ amended by Regulation no. 2011:1473",2010,Executive,,"Energy Supply; Research and development",Regulation/rules
Portugal,"Resolution of Council of Ministers 93/2010 mandating the development of a new regulatory framework for post-2010 climate policy in Portugal",2010,Executive,No,"Institutions / Administrative arrangements",Policy
Spain,"Royal Decree 903/2010, on the Assessment and Management of Flood Risk",2010,Executive,,"Adaptation; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development",Decree/order/ordinance
Italy,"Special fund to support the implementation of energy efficiency targets (Decree Law no. 40)",2010,Executive,,"Energy Demand; Institutions / Administrative arrangements","Decree law"
Belarus,"State Building Sector Development Concept for 2011-2020 (Resolution of the Council of Ministers of the Republic of Belarus No. 1589)",2010,Executive,,"Energy Demand; Research and development",Policy
Armenia,"Strategy for Sustainable Rural and Agricultural Development for the period of 2010-2020",2010,Executive,No,Adaptation,Strategy
Slovenia,"Strategy of adaptation of the Slovenian agriculture and forestry sectors to climate change",2010,Executive,,Adaptation,Strategy
Belarus,"Strategy of technological development of Belarus up to 2015 (Resolution of the Council of Ministers of the Republic of Belarus No. 1420)",2010,Executive,,"Energy Demand; Energy Supply",Resolution
Latvia,"Sustainable Development Strategy for Latvia until 2030",2010,Executive,No,"Energy Demand; Energy Supply; Research and development; Transportation",Strategy
Sweden,"The Building and Planning Act (SFS 2010:900)",2010,Legislative,,"Adaptation; Energy Demand",Law
"United Kingdom","UK Flood and Water Management Act &#8211; 2010",2010,Legislative,,Adaptation,Act
Iceland,"2009 Act no. 129 (on Environmental and Resource Taxes)",2009,Legislative,No,"Carbon Pricing; Energy Demand",Law
"European Union","2020 Climate and Energy Package (contains Directive 2009/29/EC,  Directive 2009/28/EC, Directive 2009/31/EC and Decision No. 406/2009/EC of the Parliament and the Council ; see below)",2009,Legislative,Mitigation,"Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Transportation","EU decision"
Poland,"Act on the System to Manage the Emissions of Greenhouse Gases and Other Substances",2009,Legislative,,"Institutions / Administrative arrangements",Law
Sweden,"Action Plan for a fossil-fuel independent vehicle fleet",2009,Executive,,"Carbon Pricing; Research and development; Transportation",Plan
Sweden,"An Integrated Climate and Energy Policy",2009,Legislative,,"Adaptation; Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Law
"European Union","Clean and energy-efficient road transport vehicles (Directive 2009/33/EC on the promotion of clean and energy-efficient road transport vehicles)",2009,Legislative,No,Transportation,"EU directive"
Italy,"Cleaner vehicle purchase incentives (Decree Law No. 5 of 2009)",2009,Legislative,,Transportation,"Decree law"
Russia,"Climate Doctrine of the Russian Federation",2009,Executive,Mitigation,"Adaptation; Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development",Policy
"European Union","Commission Decisions 2009/300/EC and 2018/59 on the ecological criteria for the award of the Community Eco-label to televisions",2009,Legislative,No,"Energy Demand; Institutions / Administrative arrangements","EU decision"
Bulgaria,"Early-warning system in case of disasters (Ordinance 26/2009 of the Council of Ministers)",2009,Executive,,"Adaptation; Institutions / Administrative arrangements",Decree/order/ordinance
"European Union","Eco-design (Directive 2009/125/EC establishing a framework for the setting of ecodesign requirements for energy-related products (recast))",2009,Legislative,Mitigation,"Energy Demand","EU directive"
"European Union","Effort Sharing Decision (Decision No. 406/2009/EC on the effort of Member States to reduce their greenhouse gas emissions to meet the Community’s greenhouse gas emission reduction commitments up to  2020)",2009,Legislative,No,"Energy Demand; REDD+ and LULUCF; Transportation","EU decision"
"European Union","Emission performance standards for new passenger cars (Regulation (EC) No. 443/2009 setting emission performance standards for new passenger cars as part of the Community’s integrated approach to reduce CO2 emissions from light-duty vehicles)",2009,Legislative,No,"Carbon Pricing; Transportation","EU regulation"
Russia,"Energy Efficiency legislation (Federal Law 261-F3 on Saving Energy and Increasing Energy Efficiency Increase and Amending Certain Legislative Acts of the Russian Federation)",2009,Legislative,,"Energy Demand; Institutions / Administrative arrangements",Law
Poland,"Energy Policy of Poland until 2030 (EPP 2030)",2009,Executive,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development; Transportation",Policy
Russia,"Energy Strategy to 2030",2009,Executive,,"Energy Supply",Strategy
"European Union","Fuel Quality (Directives 2009/30/EC and 2015/1513 amending Directive 98/70/EC as regards the specification of petrol, diesel and gas-oil and introducing a mechanism to monitor and reduce GHG emissions and amending Council Directive 1999/32/EC as regards the specification of fuel used by inland waterway vessels and repealing Directive 93/12/EEC)",2009,Legislative,No,"Energy Demand; Energy Supply; Transportation","EU directive"
"European Union","Geological storage of carbon dioxide (Directive 2009/31/EC on the geological storage of carbon dioxide and amending Council Directive 85/337/EEC, European Parliament and Council Directives 2000/60/EC, 2001/80/EC, 2004/35/EC, 2006/12/EC, 2008/1/EC and Regulation (EC) No  1013/2006)",2009,Legislative,Mitigation,"Carbon Pricing; Energy Supply; Research and development","EU directive"
Tajikistan,"Government Order No.73 on the Long-term Programme for Building Hydropower Plants for 2009-2020",2009,Executive,,"Energy Supply",Decree/order/ordinance
Denmark,"Green Transport Policy Agreement",2009,Executive,,"Energy Demand; Transportation",Policy
France,"Grenelle I",2009,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Transportation",Law
Netherlands,"Heat Act",2009,Legislative,,"Energy Demand; Energy Supply",Law
Ukraine,"Law 1391-VI on Promotion of Biological Fuels Production and Use",2009,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development; Transportation",Law
Kazakhstan,"Law about Support of Use of Renewable Sources of Energy No. 165-4",2009,Legislative,,"Energy Supply; Research and development",Law
Italy,"Law concerning anti-crisis measures: energy provisions (Law no. 102)",2009,Legislative,,"Energy Demand",Law
Croatia,"Law on Biofuels for Transport",2009,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Transportation",Law
Denmark,"Law on the Promotion of Renewable Energy –  No. 1392/2008 (and Legislative Decree 1288/2016)",2009,Legislative,,"Energy Demand; Energy Supply; Transportation",Law
Russia,"Legislation on the limitations of associated gas flaring",2009,Executive,,"Energy Supply",Law
Malta,"Motor Vehicles Registration Tax (Amendment) Act, 2009",2009,Legislative,,"Carbon Pricing; Transportation",Law
Malta,"National Strategy for Policy and Abatement Measures Relating to the Reduction of Greenhouse Gas Emissions",2009,Executive,,"Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; Transportation",Strategy
Russia,"On the Measures of Implementing Article 6 of the Kyoto Protocol to the United Nations Framework Convention on Climate Change (Government Decree No. 844)",2009,Executive,,"Institutions / Administrative arrangements",Decree/order/ordinance
Denmark,"Planning Act (No. 937 of 2009; consolidated No. 587 of 2013; no. 50/2018)",2009,Legislative,,"Adaptation; Energy Demand; Institutions / Administrative arrangements; REDD+ and LULUCF; Transportation",Law
Germany,"Power Grid Expansion Act (EnLAG)",2009,Legislative,No,"Energy Supply; Institutions / Administrative arrangements",Law
Bulgaria,"Programme for accelerated gasification of Republic of Bulgaria until 2020",2009,Executive,,"Energy Demand",Programme
"European Union","Regulation No 1222/2009 on the labelling of tyres with respect to fuel efficiency and other essential parameters",2009,Legislative,No,"Energy Demand; Institutions / Administrative arrangements","EU regulation"
Poland,"Regulation of the Council of Ministers on types of programmes and projects to be implemented under the National Green Investment Scheme (GIS)",2009,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Research and development; Transportation",Law
Slovenia,"Regulation on Forest Protection",2009,Executive,,Adaptation,Regulation/rules
Slovakia,"Renewable Energy Act  (Act 309/2009 on Promotion of Renewable Energy Sources and High-efficiency Cogeneration and on amendments to certain acts)",2009,Legislative,,"Energy Supply",Law
Iceland,"Renewable Energy Action Plan",2009,Executive,No,"Energy Demand; Energy Supply; Research and development; Transportation",Plan
Uzbekistan,"Resolution of the Cabinet of Ministers No. 245 validating the Regulation on use of electric and thermal energy",2009,Executive,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Regulation/rules
"European Union","Revision of the EU Emission Trading System (EU ETS) (Directive 2009/29/EC amending Directive 2003/87/EC so as to improve and extend the greenhouse gas emission allowance trading scheme of the Community)",2009,Legislative,No,"Carbon Pricing; Energy Supply; Institutions / Administrative arrangements; REDD+ and LULUCF; Transportation","EU directive"
Ireland,"Smarter Travel – A Sustainable Transport Future: A New Transport Policy for Ireland 2009-2020",2009,Executive,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development; Transportation",Policy
Croatia,"Strategy for Sustainable Development of the Republic of Croatia",2009,Executive,,"Adaptation; Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development; Transportation",Strategy
Belarus,"Tax relief for renewable energy investors (Decree No 10 of 6 August 2009 on additional conditions for investment activities as amended; Tax Code of Belarus of 29 December 2009, No 71-W)",2009,Executive,,"Energy Supply; Institutions / Administrative arrangements",Decree/order/ordinance
Denmark,"The Forest Act No. 945",2009,Legislative,,"Adaptation; REDD+ and LULUCF",Law
"European Union","Third Energy Package (Directive on electricity 2009/72/EC, repealing Directive 2003/54/EC and Directive on gas 2009/73/EC, repealing Directive 2003/55/EC)",2009,Legislative,No,"Energy Supply; Institutions / Administrative arrangements","EU directive"
Norway,"Value Added Tax (VAT) Act No. 58 of 2009",2009,Legislative,,"Energy Demand; Institutions / Administrative arrangements",Law
Iceland,"Act no. 30 of 2008 (on the guarantee of origin of electricity produced from renewable energy sources)",2008,Legislative,No,"Energy Supply",Law
Belarus,"Act No. 426-N on the use of nuclear power",2008,Legislative,,"Energy Supply",Law
Slovakia,"Act No. 476/2008 on Energy Efficiency and on the amendment of Act 555/2005 on energy efficiency of buildings and on changes and amendments of certain acts",2008,Legislative,,"Energy Demand; Energy Supply",Law
"United Kingdom","Climate Change Act",2008,Legislative,"Mitigation and adaptation","Adaptation; Carbon Pricing; Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development; Transportation",Law
Denmark,"Danish strategy for adaptation to a changing climate (2008) and the Action Plan for a climate-proof Denmark (2012)",2008,Executive,Adaptation,"Adaptation; Institutions / Administrative arrangements; Research and development",Strategy
Bulgaria,"Energy Efficiency Act (repeals the Law on Energy Efficiency 2004)",2008,Legislative,,"Energy Demand; Institutions / Administrative arrangements",Law
Slovakia,"Energy Security Strategy of the Slovak Republic, Resolution of the Government No. 732/2008 Coll.",2008,Executive,,"Energy Supply",Resolution
Italy,"Finance Law 2008 (Law No. 244 24/12/2007 and Law No. 222 29/11/2007); M.D. 18.12.08; Law 99/09)",2008,Legislative,,"Carbon Pricing; Energy Supply",Law
Germany,"German Strategy for Adaptation to Climate Change (DAS)",2008,Executive,Adaptation,Adaptation,Strategy
Hungary,"Governmental Decree No.176 of 2008 on certification of buildings energetic features",2008,Executive,,"Energy Demand",Decree/order/ordinance
Hungary,"Governmental Decree No.2019 of 2008 adopting the National Energy Efficiency Action Plan",2008,Executive,,"Energy Demand",Decree/order/ordinance
Tajikistan,"Governmental Order No.189 on the Committee on Environmental Protection",2008,Executive,,"Institutions / Administrative arrangements",Policy
Greece,"Law 3661/2008 on Measures to reduce energy consumption in buildings and other provisions",2008,Legislative,,"Energy Demand",Law
Romania,"Law no 220/2008 for the promotion of energy production from renewable energy sources",2008,Legislative,No,"Energy Supply; Institutions / Administrative arrangements",Law
"San Marino","Law no 72 on the promotion of energy efficiency in the housing sector and of renewable energy in the public and industrial sectors",2008,Legislative,mitigation,"Energy Demand; Energy Supply",Law
Kyrgyzstan,"Law No. 283 “On renewable sources of energy”",2008,Legislative,No,"Energy Supply",Law
Liechtenstein,"Law on Energy Efficiency",2008,Legislative,No,"Energy Demand; Energy Supply",Law
Switzerland,"Mineral Oil Tax reduction on Biofuels and Natural Gas (Mineral Oil Tax Act) (amendment)",2008,Legislative,,"Carbon Pricing; Energy Demand; Transportation",Law
Hungary,"National Climate Change Strategy (Resolution of the Parliament no 29/2008)",2008,Legislative,,"Adaptation; Energy Demand; Energy Supply; REDD+ and LULUCF",Law
Montenegro,"National Forestry Policy",2008,Executive,No,"REDD+ and LULUCF",Policy
Norway,"Planning and Building Act No. 71 of 2008",2008,Legislative,,"Energy Supply; Institutions / Administrative arrangements; Transportation",Law
"European Union","Regulation (EC) No 106/2008 on a Community energy-efficiency labelling programme for office equipment",2008,Legislative,No,"Energy Demand","EU regulation"
Germany,"Renewable Energies Heat Act (EEWärmeG)",2008,Legislative,,"Energy Demand; Energy Supply",Law
Azerbaijan,"State Program on Poverty Reduction and Sustainable Development in the Republic of Azerbaijan for 2008-2015",2008,Executive,No,"Energy Supply; Institutions / Administrative arrangements",Programme
Armenia,"Sustainable Development Programme (2008)",2008,Executive,No,Adaptation,Programme
Turkey,"Act No. 5627 on Energy Efficiency",2007,Legislative,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements",Law
Turkey,"Act No. 5686 on Geothermal Resources And Mineral Waters",2007,Legislative,,"Energy Demand; Energy Supply; Research and development",Law
Slovakia,"Act. 609/2007 on Excise tax from electricity, coal and natural gas",2007,Legislative,,"Carbon Pricing; Energy Demand; Energy Supply",Law
Austria,"Austrian Forestry Programme",2007,Executive,,"REDD+ and LULUCF",Programme
Germany,"Biofuel Quota Act (BioKraftQuG)",2007,Legislative,,"Energy Supply; Institutions / Administrative arrangements; Transportation",Law
France,"Bonus-Malus: vehicle CO2 bonus and penalty system",2007,Executive,,Transportation,Policy
Ireland,"Carbon Fund Act 2007, Number 12 of 2007",2007,Legislative,,"Carbon Pricing; Institutions / Administrative arrangements",Law
"European Union","Clean Sky (Council Regulation (EC) No. 71/2007 setting up the Clean Sky Joint Undertaking and No 558/2014 of 6 May 2014 establishing the Clean Sky 2 Joint Undertaking)",2007,Legislative,No,"Research and development; Transportation","EU regulation"
Austria,"Climate and Energy Fund Act",2007,Legislative,,"Energy Demand; Institutions / Administrative arrangements; Research and development; Transportation",Law
Italy,"Climate Change Action Plan (CIPE Deliberation No. 135/2007)",2007,Executive,Mitigation,"Energy Demand",Plan
Belarus,"Concept of Energy Security of the Republic of Belarus (Decree of the President of the Republic of Belarus No.433)",2007,Executive,,"Energy Demand; Energy Supply",Decree/order/ordinance
Belarus,"Directive No.3 on the Economy and Savings as the Main Factors of the Economic Security of the State",2007,Executive,,"Energy Demand; Energy Supply; Institutions / Administrative arrangements; Research and development",Directive
Liechtenstein,"Energy Efficiency Evidence Act",2007,Legislative,No,"Energy Demand",Law
Ireland,"Energy White Papers on “Delivering a Sustainable Energy Future for Ireland? : The Energy Policy Framework 2007-2020”",2007,Executive,,"Energy Demand; Energy Supply; Research and development",Policy
Denmark,"Environment protection Act, no. 1757 of 22 December 2006 (updated: No. 879 of 2010; no. 966/2017)",2007,Legislative,,"Adaptation; Institutions / Administrative arrangements; REDD+ and LULUCF; Transportation",Law
Croatia,"Environmental Protection Act",2007,Legislative,,"REDD+ and LULUCF",Law
Tajikistan,"Governmental Order No.41 on the Complex Programme for the Widespread Use of Renewable Energy Sources",2007,Executive,,"Energy Demand; Energy Supply",Decree/order/ordinance
Germany,"Integrated Climate and Energy Programme (IEKP)",2007,Executive,,"Energy Demand; Energy Supply; Research and development; Transportation",Programme
Spain,"Law 34/2007  on air quality and atmosphere protection, last amended by Law 11/2014",2007,Legislative,,Transportation,Law
Romania,"Law for energy performance of buildings 372/2005",2007,Legislative,,"Energy Demand",Law
